# Level 1

World 1280 720

#     gX, gY, cW, cH, sX, sY,  sM,  g,   bullet 
Player 2   10  80  96   40  40  20   3   axe

# Decoration
Tile    grassbottom2    59      0
Tile    grassbottom2    60      0
Tile    grassbottom2    61      0
Tile    grassbottom2    62      0
Tile    grassbottom2    63      0
Tile    grassbottom2    64      0
Tile    grassbottom2    65      0
Tile    grassbottom2    66      0
Tile    grassbottom2    67      0
Tile    grassbottom2    68      0
Tile    grassbottom2    69      0
Tile    grassbottom2    70      0
Tile    grassbottom2    71      0
Tile    grassbottom2    72      0
Tile    grassbottom2    73      0
Tile    grassbottom2    74      0
Tile    grassbottom2    75      0
Tile    grassbottom2    76      0
Tile    grassbottom2    77      0
Tile    grassbottom2    78      0
Tile    grassbottom2    79      0
Tile    grassbottom2    80      0
Tile    grassbottom2    81      0
Tile    grassbottom2    82      0
Tile    grassbottom2    83      0
Tile    grassbottom2    84      0
Tile    grassbottom2    85      0
Tile    grassbottom2    86      0
Tile    grassbottom2    87      0
Tile    grassbottom2    88      0
Tile    grassbottom2    89      0
Tile    grassbottom2    90      0
Tile    grassbottom2    91      0
Tile    grassbottom2    92      0
Tile    grassbottom2    93      0
Tile    grassbottom2    94      0
Tile    grassbottom2    95      0
Tile    grassbottom2    96      0
Tile    grassbottom2    97      0
Tile    grassbottom2    98      0
Tile    grassbottom2    99      0
Tile    grassbottom2    100     0
Tile    grassbottom2    101     0
Tile    grassbottom2    102     0
Tile    grassbottom2    103     0
Tile    grassbottom2    104     0
Tile    grassbottom2    105     0
Tile    grassbottom2    106     0
Tile    grassbottom2    107     0
Tile    grassbottom2    108     0
Tile    grassbottom2    109     0
Tile    grassbottom2    110     0
Tile    grassbottom2    111     0
Tile    grassbottom2    112     0
Tile    grassbottom2    113     0
Tile    grassbottom2    114     0
Tile    grassbottom2    115     0
Tile    grassbottom2    116     0
Tile    grassbottom2    117     0
Tile    grassbottom2    118     0
Tile    grassbottom2    119     0
Tile    grassbottom2    120     0
Tile    grassbottom2    121     0
Tile    grassbottom2    122     0
Tile    grassbottom2    123     0
Tile    grassbottom2    124     0
Tile    grassbottom2    125     0
Tile    grassbottom2    126     0
Tile    grassbottom2    127     0
Tile    grassbottom2    128     0
Tile    grassbottom2    129     0
Tile    grassbottom2    130     0
Tile    grassbottom2    131     0
Tile    grassbottom2    132     0
Tile    grassbottom2    133     0
Tile    grassbottom2    134     0
Tile    grassbottom2    135     0
Tile    grassbottom2    136     0
Tile    grassbottom2    137     0
Tile    grassbottom2    138     0
Tile    grassbottom2    139     0
Tile    grassbottom2    140     0
Tile    grassbottom2    141     0
Tile    grassbottom2    142     0
Tile    grassbottom2    143     0
Tile    grassbottom2    144     0
Tile    grassbottom2    145     0
Tile    grassbottom2    146     0
Tile    grassbottom2    147     0
Tile    grassbottom2    148     0
Tile    grassbottom2    149     0


Tile	uphill3a	150	0	
Tile	uphill3b	154	0


# Tile Row 1
Tile	grass2green	0	1
Tile	grass2green	1	1
Tile	grass2green	2	1
Tile	grass2green	3	1
Tile	grass2green	4	1
Tile	grass2green	5	1
Tile	grass2green	6	1
Tile	grass2green	7	1
Tile	grass2green	8	1
Tile	grass2green	9	1
Tile	grass2green	10	1
Tile	grass2green	11	1
Tile	grass2green	12	1
Tile	grass2green	13	1
Tile	grass2green	14	1
Tile	grass2green	15	1
Tile	grass2green	16	1
Tile	grass2green	17	1
Tile	grass2green	18	1
Tile	grass2green	19	1
Tile	grass2green	20	1
Tile	grass2green	21	1
Tile	grass2green	22	1
Tile	grass2green	23	1
Tile	grass2green	24	1
Tile	grass2green	25	1
Tile	grass2green	26	1
Tile	grass2green	27	1
Tile	grass2green	28	1
Tile	grass2green	29	1
Tile    grass2green     30      1
Tile    grass2green     31      1
Tile    grass2green     32      1
Tile    grass2green     33      1
Tile    grass2green     34      1
Tile    grass2green     35      1
Tile    grass2green     36      1
Tile    grass2green     37      1
Tile    grass2green     38      1
Tile    grass2green     39      1
Tile    grass2green     40      1
Tile    grass2green     41      1
Tile    grass2green     42      1
Tile    grass2green     43      1
Tile    grass2green     44      1
Tile    grass2green     45      1
Tile    grass2green     46      1
Tile    grass2green     47      1
Tile    grass2green     48      1
Tile    grass2green     49      1
Tile    grass2green     50      1
Tile    grass2green     51      1
Tile    grass2green     52      1
Tile    grass2green     53      1
Tile    grass2green     54      1
Tile    grass2green     55      1
Tile    grass2green     56      1
Tile    grass2green     57      1
Tile    grass2green     58      1
Tile    grass2green     59      1
Tile    grass2green     60      1
Tile    grass2green     61      1
Tile    grass2green     62      1
Tile    grass2green     63      1
Tile    grass2green     64      1
Tile    grass2green     65      1
Tile    grass2green     66      1
Tile    grass2green     67      1
Tile    grass2green     68      1
Tile    grass2green     69      1
Tile    grass2green     70      1
Tile    grass2green     71      1
Tile    grass2green     72      1
Tile    grass2green     73      1
Tile    grass2green     74      1
Tile    grass2green     75      1
Tile    grass2green     76      1
Tile    grass2green     77      1
Tile    grass2green     78      1
Tile    grass2green     79      1
Tile    grass2green     80      1
Tile    grass2green     81      1
Tile    grass2green     82      1
Tile    grass2green     83      1
Tile    grass2green     84      1
Tile    grass2green     85      1
Tile    grass2green     86      1
Tile    grass2green     87      1
Tile    grass2green     88      1
Tile    grass2green     89      1
Tile    grass2green     90      1
Tile    grass2green     91      1
Tile    grass2green     92      1
Tile    grass2green     93      1
Tile    grass2green     94      1
Tile    grass2green     95      1
Tile    grass2green     96      1
Tile    grass2green     97      1
Tile    grass2green     98      1
Tile    grass2green     99      1
Tile    grass2green     100     1
Tile    grass2green     101     1
Tile    grass2green     102     1
Tile    grass2green     103     1
Tile    grass2green     104     1
Tile    grass2green     105     1
Tile    grass2green     106     1
Tile    grass2green     107     1
Tile    grass2green     108     1
Tile    grass2green     109     1
Tile    grass2green     110     1
Tile    grass2green     111     1
Tile    grass2green     112     1
Tile    grass2green     113     1
Tile    grass2green     114     1
Tile    grass2green     115     1
Tile    grass2green     116     1
Tile    grass2green     117     1
Tile    grass2green     118     1
Tile    grass2green     119     1
Tile    grass2green     120     1
Tile    grass2green     121     1
Tile    grass2green     122     1
Tile    grass2green     123     1
Tile    grass2green     124     1
Tile    grass2green     125     1
Tile    grass2green     126     1
Tile    grass2green     127     1
Tile    grass2green     128     1
Tile    grass2green     129     1
Tile    grass2green     130     1
Tile    grass2green     131     1
Tile    grass2green     132     1
Tile    grass2green     133     1
Tile    grass2green     134     1
Tile    grass2green     135     1
Tile    grass2green     136     1
Tile    grass2green     137     1
Tile    grass2green     138     1
Tile    grass2green     139     1
Tile    grass2green     140     1
Tile    grass2green     141     1
Tile    grass2green     142     1
Tile    grass2green     143     1
Tile    grass2green     144     1
Tile    grass2green     145     1
Tile    grass2green     146     1
Tile    grass2green     147     1
Tile    grass2green     148     1
Tile    grass2green     149     1

Uphill	uphillstart	150	1
Uphill	uphill2		151	1
Tile	uphill3a	155	1
Tile	uphill3b	159	1

# Tile Row 2
Uphill	uphill1		150	2
Uphill	uphillcontinue	154	2
Tile	uphill2		155	2
Tile	uphill3a	159	2
Tile   uphill3b        163     2

# Tile Row 3
Uphill   uphill1 	154     3
Uphill   uphillcontinue  158     3
Tile    uphill2 	159     3
Tile    uphill3a        163     3
Tile    uphill3b        167     3

# Tile Row 4
Uphill   uphill1 	158     4
Uphill   uphillcontinue  162     4
Tile    uphill2 	163     4
Tile    uphill3a        167     4
Tile    uphill3b        171     4

# Tile Row 5
Uphill    uphill1 	162     5
Uphill   uphillcontinue  166     5
Tile    uphill2 	167     5
Tile    uphill3a        171     5
Tile    uphill3b        175     5

# Tile Row 6
Uphill   uphill1 	166     6
Uphill    uphillcontinue  170     6
Tile    uphill2 	171     6
Tile    grassbottom2    175     6
Tile    grassbottom2    176     6
Tile    grassbottom2    177     6
Tile    grassbottom2    178     6
Tile    grassbottom2    179     6
Tile    grassbottom2    180     6
Tile    grassbottom2    181     6
Tile    grassbottom2    182     6
Tile    grassbottom2    183     6
Tile    grassbottom2    184     6
Tile    grassbottom2    185     6
Tile    grassbottom2    186     6
Tile    grassbottom2    187     6
Tile    grassbottom2    188     6
Tile    grassbottom2    189     6
Tile    grassbottom2    190     6
Tile    grassbottom2    191     6
Tile    grassbottom2    192     6
Tile    grassbottom2    193     6
Tile    grassbottom2    194     6
Tile    grassbottom2    195     6
Tile    grassbottom2    196     6
Tile    grassbottom2    197     6
Tile    grassbottom2    198     6
Tile    grassbottom2    199     6
Tile    grassbottom2    200     6
Tile    grassbottom2    201     6
Tile    grassbottom2    202     6
Tile    grassbottom2    203     6
Tile    grassbottom2    204     6
Tile    grassbottom2    205     6
Tile    grassbottom2    206     6
Tile    grassbottom2    207     6
Tile    grassbottom2    208     6
Tile    grassbottom2    209     6
Tile    grassbottom2    210     6
Tile    grassbottom2    211     6
Tile    grassbottom2    212     6
Tile    grassbottom2    213     6
Tile    grassbottom2    214     6
Tile    grassbottom2    215     6
Tile    grassbottom2    216     6
Tile    grassbottom2    217     6
Tile    grassbottom2    218     6
Tile    grassbottom2    219     6
Tile    grassbottom2    220     6
Tile    grassbottom2    221     6
Tile    grassbottom2    222     6
Tile    grassbottom2    223     6
Tile    grassbottom2    224     6
Tile    grassbottom2    225     6
Tile    grassbottom2    226     6
Tile    grassbottom2    227     6
Tile    grassbottom2    228     6
Tile    grassbottom2    229     6
HalftileE    grassbottom3    230     6
# emptyLine2
HalftileS    grassbottom1    233     6
Tile    grassbottom2    234     6
Tile    grassbottom2    235     6
Tile    grassbottom2    236     6
Tile    grassbottom2    237     6
Tile    grassbottom2    238     6
Tile    grassbottom2    239     6
Tile    grassbottom2    240     6
Tile    grassbottom2    241     6
Tile    grassbottom2    242     6
Tile    grassbottom2    243     6
Tile    grassbottom2    244     6
HalftileE    grassbottom3    245     6
# emptyLine3
HalftileS     grassbottom1    249     6
Tile    grassbottom2    250     6
Tile    grassbottom2    251     6
Tile    grassbottom2    252     6
Tile    grassbottom2    253     6
Tile    grassbottom2    254     6
Tile    grassbottom2    255     6
Tile    grassbottom2    256     6
Tile    grassbottom2    257     6
Tile    grassbottom2    258     6
Tile    grassbottom2    259     6
Tile    grassbottom2    260     6
Tile    grassbottom2    261     6
HalftileE     grassbottom3    262     6
# emptyLine4
HalftileS     grassbottom1    267     6
Tile    grassbottom2    268     6
Tile    grassbottom2    269     6
Tile    grassbottom2    270     6
Tile    grassbottom2    271     6
Tile    grassbottom2    272     6
Tile    grassbottom2    273     6
Tile    grassbottom2    274     6
Tile    grassbottom2    275     6
Tile    grassbottom2    276     6
Tile    grassbottom2    277     6
Tile    grassbottom2    278     6
Tile    grassbottom2    279     6
HalftileE    grassbottom3    280     6
# emptyLine11
HalftileS    grassbottom1    292     6
Tile    grassbottom2    293     6
Tile    grassbottom2    294     6
Tile    grassbottom2    295     6
Tile    grassbottom2    296     6
Tile    grassbottom2    297     6
Tile    grassbottom2    298     6
Tile    grassbottom2    299     6
Tile    grassbottom2    300     6
Tile    grassbottom2    301     6
Tile    grassbottom2    302     6
Tile    grassbottom2    303     6
Tile    grassbottom2    304     6
Tile    grassbottom2    305     6
Tile    grassbottom2    306     6
Tile    grassbottom2    307     6
Tile    grassbottom2    308     6
Tile    grassbottom2    309     6
Tile    grassbottom2    310     6
Tile    grassbottom2    311     6
Tile    grassbottom2    312     6
Tile    grassbottom2    313     6
Tile    grassbottom2    314     6
Tile    grassbottom2    315     6
Tile	grassbottom2    316     6

# Tile Row 7
Uphill	uphill1		170	7
Tile	uphillend	174	7
Tile    grass2  175     7
Tile    grass2  176     7
Tile    grass2  177     7
Tile    grass2  178     7
Tile    grass2  179     7
Tile    grass2  180     7
Tile    grass2  181     7
Tile    grass2  182     7
Tile    grass2  183     7
Tile    grass2  184     7
Tile    grass2  185     7
Tile    grass2  186     7
Tile    grass2  187     7
Tile    grass2  188     7
Tile    grass2  189     7
Tile    grass2  190     7
Tile    grass2  191     7
Tile    grass2  192     7
Tile    grass2  193     7
Tile    grass2  194     7
Tile    grass2  195     7
Tile    grass2  196     7
Tile    grass2  197     7
Tile    grass2  198     7
Tile    grass2  199     7
Tile    grass2  200     7
Tile    grass2  201     7
Tile    grass2  202     7
Tile    grass2  203     7
Tile    grass2  204     7
Tile    grass2  205     7
Tile    grass2  206     7
Tile    grass2  207     7
Tile    grass2  208     7
Tile    grass2  209     7
Tile    grass2  210     7
Tile    grass2  211     7
Tile    grass2  212     7
Tile    grass2  213     7
Tile    grass2  214     7
Tile    grass2  215     7
Tile    grass2  216     7
Tile    grass2  217     7
Tile    grass2  218     7
Tile    grass2  219     7
Tile    grass2  220     7
Tile    grass2  221     7
Tile    grass2  222     7
Tile    grass2  223     7
Tile    grass2  224     7
Tile    grass2  225     7
Tile    grass2  226     7
Tile    grass2  227     7
Tile    grass2  228     7
Tile    grass2  229     7
HalftileE 	grass3	230	7
#EmptyLine2
HalftileS     grass1	233     7
Tile    grass2  234     7
Tile    grass2  235     7
Tile    grass2  236     7
Tile    grass2  237     7
Tile    grass2  238     7
Tile    grass2  239     7
Tile    grass2  240     7
Tile    grass2  241     7
Tile    grass2  242     7
Tile    grass2  243     7
Tile    grass2  244     7
HalftileE 	grass3	245	7
#EmptyLine3
HalftileS     grass1  249     7
Tile    grass2  250     7
Tile    grass2  251     7
Tile    grass2  252     7
Tile    grass2  253     7
Tile    grass2  254     7
Tile    grass2  255     7
Tile    grass2  256     7
Tile    grass2  257     7
Tile    grass2  258     7
Tile    grass2  259     7
Tile    grass2  260     7
Tile    grass2  261     7
HalftileE    grass3  262     7
#emptyLine4
HalftileS     grass1  267     7
Tile    grass2  268     7
Tile    grass2  269     7
Tile    grass2  270     7
Tile    grass2  271     7
Tile    grass2  272     7
Tile    grass2  273     7
Tile    grass2  274     7
Tile    grass2  275     7
Tile    grass2  276     7
Tile    grass2  277     7
Tile    grass2  278     7
Tile    grass2  279     7
HalftileE    grass3  280     7
#emptyLine11
HalftileS     grass1  292     7
Tile    grass2  293     7
Tile    grass2  294     7
Tile    grass2  295     7
Tile    grass2  296     7
Tile    grass2  297     7
Tile    grass2  298     7
Tile    grass2  299     7
Tile    grass2  300     7
Tile    grass2  301     7
Tile    grass2  302     7
Tile    grass2  303     7
Tile    grass2  304     7
Tile    grass2  305     7
Tile    grass2  306     7
Tile    grass2  307     7
Tile    grass2  308     7
Tile    grass2  309     7
Tile    grass2  310     7
Tile    grass2  311     7
Tile    grass2  312     7
Tile    grass2  313     7
Tile    grass2  314     7
Tile    grass2  315     7
Tile    grass2  316    	7
